Code,time
0B,00:30-07:30
0C,0:30-7:00
10A,"10:00-11:30,12:00-17:00"
10AA,"10:30-12:30,16:30-21:00"
10AB,"10:00-14:00,19:00-22:00"
10AC,"10:00-12:00,13:00-17:00,18:00-22:00"
10B,"10:00-13:00,18:00-21:30"
10C,"10:30-11:30,12:30-18:30"
10D,"10:00-12:30,16:30-20:30"
10E,"10:00-12:00,13:00-17:30"
10F,"10:00-12:00,13:30-19:00"
10H,"10:30-12:00,13:00-19:30"
10I,"10:00-11:30,12:30-17:00,18:00-20:00"
10J,"10:00-12:00,12:30-17:00,17:30-22:00"
10K,"10:00-12:00,13:00-18:00"
10L,"10:00-12:00,12:30-17:30"
10M,"10:00-11:30,13:00-18:30"
10N,"10:30-17:00,17:30-18:00"
10P,"10:00-12:00,13:30-18:00"
10Q,"10:00-13:00,13:30-18:30"
10R,"10:00-12:00,13:30-17:00,18:00-22:00"
10S,"10:00-12:00,13:00-18:30"
10T,"10:00-12:00,13:00-19:00"
10YF,"10:00-12:00,13:00-19:00"
10YW,"10:00-12:00,13:30-19:00"
10Z,"10:00-12:00,13:00-18:00"
10ZA,"10:30-16:30,17:30-20:30"
11A,"11:00-11:30,12:00-18:00"
11B,"11:00-14:30,17:00-18:30,19:00-21:00"
11C,"11:00-17:30,18:00-23:00"
11D,"11:00-12:00,14:30-17:30"
11E,"11:30-17:00,18:00-20:30"
11F,"11:30-17:00,18:00-21:00"
11G,"11:30-12:00,12:30-18:30"
11H,11:00-18:30
11I,"11:00-12:00,12:30-14:30,17:00-20:30"
11J,"11:00-12:30,13:00-19:00"
11K,"11:00-12:00,13:30-19:30"
11L,"11:30-16:30,18:00-20:00"
11M,11:00-19:00
11N,"11:00-12:30,13:30-19:30"
11Q,11:30-17:30
11R,"11:00-12:00,13:00-17:00,18:00-21:00"
12A,"12:00-17:30,18:00-19:00"
12B,12:00-18:30
12C,"12:00-17:30,18:30-19:30"
12D,"12:00-17:30,18:30-21:00"
12E,"12:00-17:30,18:30-21:30"
12F,"12:30-15:00,16:30-20:30"
12G,"12:00-17:30,18:30-22:00"
12H,13:00-19:30
12I,"13:00-17:00,18:00-20:30"
12J,"13:00-17:00,18:00-22:00"
12K,13:30-17:30
12L,"12:00-17:00,18:00-20:00"
12M,"12:00-17:00,18:00-24:00"
12N,"12:00-16:30,18:00-20:30"
12P,"12:30-17:00,18:30-21:00"
12S,"12:00-17:00,17:30-21:00"
12T,"12:00-17:00,18:30-21:00"
12U,"12:30-17:30,18:30-21:30"
12V,"12:00-17:00,18:00-22:00"
12W,"12:00-17:00,18:00-20:30"
12X,12:00-18:00
12Y,"12:30-17:00,18:00-22:30"
12Z,"12:30-17:30,18:30-21:30"
13A,"13:30-17:00,18:00-21:30"
13B,"13:30-17:30,18:00-20:30"
13C,"13:30-17:00,18:00-22:00"
13D,"13:00-17:00,18:00-20:00"
13F,13:00-18:30
13G,"13:00-16:30,18:30-21:30"
13H,"13:00-17:00,18:30-21:30"
13I,"13:30-16:30,18:00-22:00"
